# g=1.0
# kappa=1.0
# gamma=0.0
# Omega12=0.2
# rabi_b=1.5
# rabi_l=1.0
# detuning_bc=0.0
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,estado_2,estado_3,N_expect,X_expect,P_expect
11.426426426426426,(0.32434770163098364+1.3424251792507463e-15j),(0.15742625369701693-1.4439571023932053e-14j),(0.15742625369702798+1.0989797701476389e-14j),(0.3607997909750124+2.3003615379513277e-15j),(7.180917512190051+1.866064329917581e-15j),(-3.2378905501135664+1.0626767756598371e-15j),(0.05817454406971283+3.029130850367096e-14j)
11.441441441441441,(0.32436089565582654+1.6100911129933908e-15j),(0.157413761822886-1.4677492207242703e-14j),(0.1574137618228958+1.0905786435127029e-14j),(0.3608115806984333+2.3672868626284952e-15j),(7.181443023769297+2.0786537934920372e-15j),(-3.2380581766435546+1.0037711928320169e-15j),(0.05814629829697964+3.12638852862355e-14j)
11.456456456456456,(0.32437407486546893+1.8560455419442272e-15j),(0.15740127797698977-1.485864466715346e-14j),(0.15740127797699857+1.0793663868047568e-14j),(0.3608233691805849+2.4264900340288626e-15j),(7.181965567352631+2.2721096656974913e-15j),(-3.2382251043702635+9.483490859393392e-16j),(0.05811805533044298+3.224648077450017e-14j)
11.471471471471471,(0.3243872394079741+2.0952926607599828e-15j),(0.15738880215094825-1.4973086218461483e-14j),(0.15738880215095627+1.0631106904490867e-14j),(0.3608351562901642+2.4745522596310564e-15j),(7.182485183208907+2.454101523624064e-15j),(-3.238391342911896+8.904133426012353e-16j),(0.05808981533066829+3.3286527966478255e-14j)
11.486486486486486,(0.32440038934502974+2.3257229044509872e-15j),(0.1573763343388847-1.5017211266149735e-14j),(0.15737633433889217+1.0417178857019017e-14j),(0.36084694197723666+2.5108080486880255e-15j),(7.18300189456463+2.6225512526219703e-15j),(-3.2385568977053256+8.307585458966788e-16j),(0.05806157837880804+3.43064123861799e-14j)
11.501501501501501,(0.3244135247383232+2.5452267080275736e-15j),(0.15736387453492234-1.4987414215201207e-14j),(0.15736387453492945+1.015094303819412e-14j),(0.36085872619186876+2.53459191045272e-15j),(7.183515724646294+2.775380738041177e-15j),(-3.2387217741874266+7.71927766666013e-16j),(0.058033344556014735+3.530516502791344e-14j)
11.516516516516516,(0.3244266456495428+2.751694506500071e-15j),(0.15735142273318456-1.4880089470598862e-14j),(0.15735142273319147+9.831462760578275e-15j),(0.3608705088841255+2.545238354178082e-15j),(7.184026696680384+2.9105118652316317e-15j),(-3.238885977795072+7.124451426428758e-16j),(0.058005113943440864+3.631751678361515e-14j)
11.531531531531531,(0.32443975214037607+2.943016734878812e-15j),(0.15733897892779453-1.4691631437325684e-14j),(0.15733897892780163+9.457801336733576e-15j),(0.36088229000407296+2.542081889117067e-15j),(7.184534833893401+3.0258665195434375e-15j),(-3.2390495139651345+6.528410355662566e-16j),(0.057976886622238905+3.737244126227881e-14j)
11.546546546546546,(0.3244528442725103+3.1170838281741277e-15j),(0.15732654311287553-1.441843452036465e-14j),(0.157326543112883+9.029022079222123e-15j),(0.3608940695017764+2.524457024522621e-15j),(7.185040159511828+3.1193665863265764e-15j),(-3.2392123881344883+5.942073370796152e-16j),(0.057948662673561364+3.844143411116342e-14j)
11.561561561561561,(0.32446592210763386+3.2717862213963482e-15j),(0.15731411528255088-1.4056893124698746e-14j),(0.15731411528255912+8.544188300606023e-15j),(0.36090584732730185+2.49169826964769e-15j),(7.185542696762165+3.1889339509311675e-15j),(-3.2393746057400064+5.36004129853526e-16j),(0.057920442178560724+3.95716403370802e-14j)
