# g=1.0
# kappa=1.0
# gamma=0.5
# rabi_b=None
# rabi_l=1.5
# detuning_bc=None
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.7357357357357357,(0.8045536949203144+0j),(0.19544630507968544+0j),(0.02465704233513115+0j),(0.20929799103687177+0j),2.6021402303271694e-17j
0.7507507507507507,(0.7993293327660684+0j),(0.2006706672339315+0j),(0.02637839023237688+0j),(0.21601304412530364+0j),2.6021218915259153e-17j
0.7657657657657657,(0.7941673260191563+0j),(0.2058326739808437+0j),(0.02817183131015026+0j),(0.2227484247674024+0j),2.7756125778642656e-17j
0.7807807807807807,(0.789072720614064+0j),(0.210927279385936+0j),(0.030037834533680405+0j),(0.2295002443241388+0j),1.0408524243774603e-17j
0.7957957957957957,(0.7840503737127031+0j),(0.21594962628729694+0j),(0.031976773424636+0j),(0.236264702150495+0j),2.428612866357646e-17j
0.8108108108108109,(0.7791049500148849+0j),(0.2208950499851151+0j),(0.033988925806300196+0j),(0.2430380879651559+0j),1.2143064330973408e-17j
0.8258258258258259,(0.7742409185533924+0j),(0.2257590814466077+0j),(0.03607447375593153+0j),(0.24981678399238305+0j),2.4285761886006404e-17j
0.8408408408408409,(0.7694625503594437+0j),(0.2305374496405562+0j),(0.038233503640687956+0j),(0.2565972665907165+0j),1.2449723019936417e-17j
0.8558558558558559,(0.7647739161954189+0j),(0.23522608380458115+0j),(0.040466005817567784+0j),(0.2633761077060338+0j),2.6020852139595882e-17j
0.8708708708708709,(0.7601788848756349+0j),(0.23982111512436516+0j),(0.042771875367604316+0j),(0.27014997634624627+0j),1.2143064331780998e-17j
0.8858858858858859,(0.7556811219828015+0j),(0.24431887801719868+0j),(0.04515091303826594+0j),(0.2769156398835372+0j),2.4286128663562203e-17j
0.9009009009009009,(0.7512840888743146+0j),(0.24871591112568542+0j),(0.04760282596949+0j),(0.28366996508868525+0j),3.989863994145443e-17j
0.9159159159159159,(0.7469910415266344+0j),(0.2530089584733656+0j),(0.0501272279384264+0j),(0.2904099190766535+0j),2.6020118584708106e-17j
0.9309309309309309,(0.7428050305188958+0j),(0.2571949694811044+0j),(0.052723640890572486+0j),(0.2971325700282511+0j),5.1426919808754526e-17j
