# g=1.0
# kappa=1.0
# gamma=0.0
# rabi_b=None
# rabi_l=1.5
# detuning_bc=None
# detuning_ca=0.0
# detuning_al=0.0
t,estado_0,estado_1,N_expect,X_expect,P_expect
0.6906906906906907,(0.7880233155917473+0j),(0.21197668440825235+0j),(0.022314275330039136+0j),(0.199206972158735+0j),2.6018101318507163e-18j
0.7057057057057057,(0.7809284615790455+0j),(0.2190715384209542+0j),(0.024061206217023116+0j),(0.20634890845918707+0j),1.5813024402082805e-18j
0.7207207207207207,(0.7738462210706684+0j),(0.22615377892933136+0j),(0.025894987948545597+0j),(0.21353240233160264+0j),-1.1990101766162644e-17j
0.7357357357357357,(0.7667840147456796+0j),(0.23321598525432022+0j),(0.02781700458131449+0j),(0.22075270776245062+0j),-2.4286312051255748e-17j
0.7507507507507507,(0.7597491561050526+0j),(0.2402508438949472+0j),(0.029828540154940023+0j),(0.22800513981180842+0j),-1.2143247719627047e-17j
0.7657657657657657,(0.752748841189473+0j),(0.24725115881052662+0j),(0.03193077570440156+0j),(0.23528507930938253+0j),-1.1989918377763819e-17j
0.7807807807807807,(0.745790139916154+0j),(0.2542098600838459+0j),(0.034124786904227315+0j),(0.24258797684214817+0j),-2.4286862215725635e-17j
0.7957957957957957,(0.7388799901351591+0j),(0.26112000986484063+0j),(0.03641154256234428+0j),(0.24990935555786492+0j),-1.0409074407911013e-17j
0.8108108108108109,(0.7320251884181258+0j),(0.2679748115818739+0j),(0.03879190241091362+0j),(0.25724481537481797+0j),-2.4287228990942537e-17j
0.8258258258258259,(0.7252323804442227+0j),(0.2747676195557771+0j),(0.04126661494618381+0j),(0.2645900373582466+0j),-2.6021585690894257e-17j
0.8408408408408409,(0.7185080542089767+0j),(0.28149194579102305+0j),(0.043836316161133836+0j),(0.27194078686773226+0j),4.589385960444051e-18j
0.8558558558558559,(0.7118585345550847+0j),(0.28814146544491487+0j),(0.04650152849877841+0j),(0.2792929161168428+0j),3.4672462975316225e-18j
0.8708708708708709,(0.7052899758174419+0j),(0.2947100241825577+0j),(0.04926265977876946+0j),(0.286642367550251+0j),-2.4594987998089898e-17j
0.8858858858858859,(0.6988083541873934+0j),(0.30119164581260605+0j),(0.05212000228624585+0j),(0.2939851773371257+0j),3.4687134034733317e-18j
0.9009009009009009,(0.6924194621558587+0j),(0.30758053784414086+0j),(0.05507373229897766+0j),(0.30131747794985736+0j),4.693147477438287e-18j
0.9159159159159159,(0.6861289042623653+0j),(0.31387109573763433+0j),(0.05812390975829518+0j),(0.3086355001615107+0j),4.694614588114785e-18j
0.9309309309309309,(0.6799420914652602+0j),(0.32005790853473964+0j),(0.0612704781923662+0j),(0.3159355756439109+0j),5.3064648573777035e-18j
0.9459459459459459,(0.6738642352354757+0j),(0.326135764764524+0j),(0.06451326487947995+0j),(0.3232141396817454+0j),5.30646485068957e-18j
0.960960960960961,(0.667900343539736+0j),(0.3320996564602637+0j),(0.06785198122451973+0j),(0.33046773305045524+0j),1.2266347734807923e-18j
0.975975975975976,(0.6620552174894139+0j),(0.3379447825105859+0j),(0.07128622297973802+0j),(0.3376930035858909+0j),6.133173938827457e-19j
0.990990990990991,(0.6563334475011706+0j),(0.3436665524988291+0j),(0.07481547110065614+0j),(0.3448867079733696+0j),1.226634773934006e-18j
